epoch,train_loss,val_loss
1,0.4179,0.9421
2,0.3815,0.8733
3,0.3479,0.8089
4,0.3184,0.7563
5,0.2916,0.7079
6,0.2692,0.6598
7,0.2485,0.6207
8,0.2304,0.5774
9,0.2141,0.5499
10,0.1999,0.5197
11,0.1871,0.492
12,0.1741,0.4661
13,0.1635,0.4428
14,0.1538,0.4218
15,0.1445,0.4027
16,0.1361,0.3825
17,0.1287,0.3669
18,0.1211,0.3488
19,0.1148,0.3354
20,0.1092,0.3216
21,0.1041,0.3076
22,0.0979,0.2965
23,0.0938,0.2834
24,0.0892,0.2765
25,0.0846,0.2663
26,0.0805,0.2553
27,0.0767,0.2458
28,0.0736,0.2388
29,0.0707,0.2313
30,0.0678,0.223
31,0.0649,0.2166
32,0.062,0.211
33,0.0599,0.204
34,0.0574,0.1985
35,0.0555,0.1934
36,0.0535,0.1884
37,0.0515,0.1827
38,0.0496,0.1787
39,0.048,0.1749
40,0.0465,0.1702
41,0.045,0.1669
42,0.0431,0.1628
43,0.0416,0.1586
44,0.0405,0.1553
45,0.039,0.1522
46,0.0379,0.1487
47,0.0371,0.1449
48,0.0352,0.1408
49,0.0339,0.1392
50,0.0332,0.1357
51,0.0319,0.1334
52,0.031,0.1302
53,0.03,0.1282
54,0.0291,0.1249
55,0.0281,0.1226
56,0.027,0.12
57,0.0262,0.1176
58,0.0252,0.1155
59,0.0246,0.1122
60,0.024,0.1089
61,0.0232,0.1074
62,0.0222,0.105
63,0.0219,0.103
64,0.021,0.1012
65,0.0205,0.0996
66,0.0199,0.0983
67,0.0192,0.0947
68,0.0188,0.0937
69,0.018,0.0925
70,0.0175,0.0901
71,0.0171,0.0879
72,0.0165,0.0871
73,0.0161,0.0844
74,0.0155,0.0835
75,0.0152,0.083
76,0.0149,0.08
77,0.0144,0.0788
78,0.0141,0.0773
79,0.0137,0.0766
80,0.0134,0.0753
81,0.013,0.0734
82,0.0129,0.0735
83,0.0126,0.0714
84,0.0122,0.071
85,0.012,0.0698
86,0.0118,0.0688
87,0.0116,0.0674
88,0.0112,0.066
89,0.0111,0.0662
90,0.0109,0.0649
91,0.0106,0.0639
92,0.0105,0.0626
93,0.0103,0.0617
94,0.01,0.0607
95,0.0099,0.0608
96,0.0097,0.059
97,0.0096,0.0587
98,0.0093,0.0584
99,0.0093,0.0575
100,0.0092,0.0563
101,0.009,0.0556
102,0.0088,0.0551
103,0.0086,0.0538
104,0.0085,0.054
105,0.0084,0.0537
106,0.0082,0.052
107,0.0081,0.0516
108,0.0079,0.0508
109,0.0079,0.0506
110,0.0077,0.0498
111,0.0076,0.0493
112,0.0075,0.0491
113,0.0073,0.0487
114,0.0073,0.0472
115,0.0072,0.0461
116,0.0071,0.0457
117,0.007,0.0456
118,0.0069,0.0451
119,0.0068,0.0442
120,0.0067,0.0443
121,0.0066,0.0435
122,0.0065,0.0434
123,0.0065,0.0425
124,0.0063,0.0418
125,0.0062,0.0424
126,0.0062,0.0413
127,0.0061,0.0411
128,0.006,0.0402
129,0.0058,0.04
130,0.0058,0.0397
131,0.0057,0.0392
132,0.0056,0.0389
133,0.0056,0.0387
134,0.0056,0.038
135,0.0055,0.0378
136,0.0054,0.0375
137,0.0053,0.0368
138,0.0052,0.0366
139,0.0051,0.0361
140,0.0051,0.036
141,0.005,0.0356
142,0.005,0.0349
143,0.0049,0.0346
144,0.0049,0.034
145,0.0049,0.0339
146,0.0047,0.0333
147,0.0046,0.033
148,0.0046,0.0332
149,0.0046,0.0325
150,0.0045,0.0321
151,0.0045,0.032
152,0.0044,0.0323
153,0.0044,0.0317
154,0.0043,0.0316
155,0.0043,0.0312
156,0.0042,0.0308
157,0.0042,0.0302
158,0.0041,0.0301
159,0.0041,0.0302
160,0.004,0.0299
161,0.004,0.0295
162,0.004,0.029
163,0.0039,0.0286
164,0.0039,0.0287
165,0.0038,0.0286
166,0.0038,0.0286
167,0.0037,0.0274
168,0.0037,0.0283
169,0.0037,0.0277
170,0.0036,0.0272
171,0.0036,0.0273
172,0.0036,0.0268
173,0.0035,0.0271
174,0.0034,0.0267
175,0.0035,0.0263
176,0.0035,0.0267
177,0.0034,0.0259
178,0.0034,0.0255
179,0.0033,0.0257
180,0.0033,0.0256
181,0.0033,0.0253
182,0.0033,0.0249
183,0.0032,0.0249
184,0.0032,0.0248
185,0.0032,0.0247
186,0.0032,0.0245
187,0.0031,0.0244
188,0.0031,0.024
189,0.0031,0.0242
190,0.0031,0.0237
191,0.003,0.0237
192,0.003,0.024
193,0.003,0.0236
194,0.003,0.0235
195,0.0029,0.0235
196,0.0029,0.0231
197,0.0029,0.0231
198,0.0029,0.0226
199,0.0029,0.023
200,0.0029,0.023
201,0.0028,0.0226
202,0.0028,0.0227
203,0.0028,0.0226
204,0.0028,0.0222
205,0.0028,0.0222
206,0.0028,0.0218
207,0.0027,0.0218
208,0.0027,0.0219
209,0.0027,0.022
210,0.0027,0.0217
211,0.0026,0.0216
212,0.0026,0.0211
213,0.0026,0.0216
214,0.0026,0.0212
215,0.0026,0.0212
216,0.0026,0.0213
217,0.0026,0.0211
218,0.0026,0.021
219,0.0025,0.0207
220,0.0025,0.021
221,0.0025,0.0208
222,0.0025,0.0208
223,0.0025,0.0207
224,0.0025,0.0207
225,0.0025,0.0209
226,0.0025,0.0207
227,0.0025,0.0205
228,0.0025,0.0201
229,0.0024,0.0206
230,0.0024,0.0203
231,0.0024,0.0202
232,0.0024,0.0199
233,0.0024,0.0203
234,0.0024,0.0201
235,0.0024,0.02
236,0.0024,0.02
237,0.0024,0.0199
238,0.0024,0.0198
239,0.0024,0.02
240,0.0024,0.02
241,0.0023,0.0195
242,0.0024,0.0196
243,0.0023,0.0193
244,0.0023,0.0198
245,0.0023,0.0198
246,0.0023,0.0194
247,0.0023,0.0196
248,0.0023,0.0194
249,0.0023,0.0199
250,0.0023,0.0194
251,0.0023,0.0194
252,0.0023,0.0196
253,0.0023,0.0197
254,0.0023,0.0191
255,0.0023,0.0193
256,0.0023,0.0193
257,0.0023,0.0193
258,0.0023,0.0192
259,0.0023,0.0191
260,0.0023,0.0192
261,0.0022,0.019
262,0.0023,0.0191
263,0.0022,0.0191
264,0.0023,0.0191
265,0.0023,0.019
266,0.0022,0.0193
267,0.0022,0.0189
268,0.0022,0.0188
269,0.0022,0.0192
270,0.0022,0.019
271,0.0022,0.0191
272,0.0022,0.019
273,0.0022,0.0193
274,0.0022,0.0188
275,0.0022,0.019
276,0.0022,0.0187
277,0.0022,0.0188
278,0.0022,0.019
279,0.0022,0.0186
280,0.0022,0.019
281,0.0022,0.019
282,0.0022,0.019
283,0.0022,0.0187
284,0.0022,0.0186
285,0.0022,0.0188
286,0.0022,0.0189
287,0.0022,0.019
288,0.0022,0.0188
289,0.0022,0.0188
290,0.0022,0.019
291,0.0022,0.0191
292,0.0022,0.0187
293,0.0022,0.0189
294,0.0022,0.0194
295,0.0022,0.0187
296,0.0022,0.019
297,0.0022,0.0187
298,0.0022,0.0191
299,0.0022,0.019
300,0.0022,0.0189
